country_code,country_name,geo_type,destination,link
US,United States,multi_city_vicinity,Los Angeles,https://luxuryescapes.com/search?destinationName=Los+Angeles&destinationId=le_079230e29195cac1ce62e737740797a0&adults=2&children=none&pages=2
ES,Spain,city,Barcelona,https://luxuryescapes.com/search?destinationName=Barcelona&destinationId=le_3dc4876f3f08201c7c76cb71fa1da439&adults=2&children=none&pages=2
GB,United Kingdom,province_state,England,https://luxuryescapes.com/search?destinationName=England&destinationId=le_568221292bd68ebdd821521ce60a8110&adults=2&children=none&pages=2
US,United States,neighborhood,Waikiki,https://luxuryescapes.com/search?destinationName=Waikiki&destinationId=le_21bf8d519b1e67cd0b9d4b50b55fccdd&adults=2&children=none&pages=2
AU,Australia,city,Sydney,https://luxuryescapes.com/search?destinationName=Sydney&destinationId=le_acf06cdd9c744f969958e1f085554c8b&adults=2&children=none&pages=2
AU,Australia,high_level_region,Mornington Peninsula,https://luxuryescapes.com/search?destinationName=Mornington+Peninsula&destinationId=le_77a4a0e5a3bdfee80c9eff1420165977&adults=2&children=none&pages=2
AU,Australia,city,Margaret River,https://luxuryescapes.com/search?destinationName=Margaret+River&destinationId=le_e4f9f1a6a6193f7100fc69a9abe3fc27&adults=2&children=none&pages=2
KR,South Korea,country,South Korea,https://luxuryescapes.com/search?destinationName=South+Korea&destinationId=le_f4b9ec30ad9f68f89b29639786cb62ef&adults=2&children=none&pages=2
ID,Indonesia,city,Lembongan Island,https://luxuryescapes.com/search?destinationName=Lembongan+Island&destinationId=le_66339aeaeac3d911af379044c9624005&adults=2&children=none&pages=2
CA,Canada,country,Canada,https://luxuryescapes.com/search?destinationName=Canada&destinationId=le_c16a5320fa475530d9583c34fd356ef5&adults=2&children=none&pages=2
ZA,South Africa,country,South Africa,https://luxuryescapes.com/search?destinationName=South+Africa&destinationId=le_9766527f2b5d3e95d4a733fcfb77bd7e&adults=2&children=none&pages=2
TH,Thailand,city,Chiang Mai,https://luxuryescapes.com/search?destinationName=Chiang+Mai&destinationId=le_f964e87e2c42208253412904eec37214&adults=2&children=none&pages=2
